t		Dm = 8 sig = 0.2		Dm = 8 sig = 0.5		Dm =10 sig = 0.2		Dm = 10 sig = 0.5
42.5		0.000341511		0.001770967		0.000116762		0.000806189
42.6		0.000295744		0.001561093		0.000111218		0.000758343
42.7		0.000283618		0.001517414		0.00010989		0.000746435
42.8		0.000275972		0.001482692		0.000108281		0.000738179
42.9		0.000265597		0.001438831		0.000105633		0.000717922
43		0.000258024		0.001415181		0.00010399		0.000704876
43.1		0.000256399		0.001421929		0.000103734		0.000700713
43.2		0.000262284		0.001446042		0.000105341		0.000708864
43.3		0.000269858		0.001480013		0.000107174		0.000720623
43.4		0.000273683		0.001484411		0.000109376		0.00073462
43.5		0.000279552		0.001509499		0.000111547		0.000747851
43.6		0.000297544		0.001599162		0.000114705		0.000772474
43.7		0.000342482		0.001816547		0.000123437		0.000840823
43.8		0.000342995		0.001818438		0.000123521		0.000837296
43.9		0.000330591		0.001755134		0.000121441		0.000822177
44		0.000349992		0.001847095		0.000124271		0.000850242
44.1		0.000410932		0.002084076		0.00013563		0.000927706
44.2		0.000325741		0.001708047		0.000119862		0.000824643
44.3		0.000287565		0.001537284		0.000113813		0.000776338
44.4		0.000277325		0.001516843		0.000112241		0.000765415
44.5		0.000284621		0.001568438		0.000114381		0.000782229
44.6		0.000285408		0.001582579		0.000115468		0.000783731
44.7		0.000279755		0.001568799		0.000116434		0.00078615
44.8		0.000278017		0.001564856		0.000118327		0.000797196
44.9		0.000285256		0.00160113		0.000122025		0.000818771
45		0.000297022		0.001653898		0.000126049		0.000840875
45.1		0.000285427		0.001583089		0.000123581		0.000825625
45.2		0.000272775		0.001528695		0.000120797		0.000814922
45.3		0.000268481		0.001521322		0.000120011		0.000810848
45.4		0.000272075		0.001539875		0.000120756		0.000814334
45.5		0.000273303		0.00153997		0.000120738		0.000812472
45.6		0.000274477		0.001526155		0.000122336		0.000824646
45.7		0.000278715		0.001535835		0.000126071		0.000850679
